id;start_date;end_date;language
1;2019-10-09T14:01:32;2019-10-09T07:09:50;SPANISH
2;2019-10-09T15:31:38;2019-10-09T00:37:48;FRENCH
3;2019-10-09T11:03:42;2019-10-09T02:27:42;ENGLISH
4;2019-10-09T00:15:34;2019-10-09T07:42:35;SPANISH
5;2019-10-09T09:14:13;2019-10-09T13:58:21;SPANISH
6;2019-10-09T15:31:13;2019-10-09T16:48:09;SPANISH
7;2019-10-09T00:53:33;2019-10-09T13:34:20;SPANISH
8;2019-10-08T22:24:52;2019-10-09T06:25:01;SPANISH
9;2019-10-09T08:12:58;2019-10-09T16:37:36;FRENCH
10;2019-10-09T11:31:07;2019-10-09T08:47:22;ENGLISH
